namefirst,namelast,username,email,role,age,phone,sex,maritalstatus,address,city,state,postcode,salary,hired
Shane,Boorman,boormans,boormans@royaltyhousekeepers.com,Purchasing,54,520-873-4974,Male,Separated,4939 Hudson Ct,Hereford,Arizona,85615,50409.00,11/11/2012
Kirk,Buckey,buckeyk,buckeyk@royaltyhousekeepers.com,Human Resources,68,520-691-9867,Female,Widowed,7569 Kendale Ct,Sierra Vista,Arizona,85635,57543.00,1/8/2018
Jerome,Content,contentj,contentj@royaltyhousekeepers.com,Associate,36,520-441-4793,Male,Married,7605 Lincolnway Blvd,Sierra Vista,Arizona,85635,30320.00,3/23/2011
Dorsey,Drees,dreesd,dreesd@royaltyhousekeepers.com,Human Resources,62,520-205-9526,Female,Widowed,6759 Shadybrook Trl,Sierra Vista,Arizona,85635,73604.00,10/26/2008
Gregory,Frushon,frushong,frushong@royaltyhousekeepers.com,Associate,40,520-591-5162,Female,Married,7168 Oak Ct,Sierra Vista,Arizona,85650,25710.00,1/15/2011
Curtis,Hazuda,hazudac,hazudac@royaltyhousekeepers.com,Associate,33,520-439-9107,Female,Single,9984 Steuben Ave,Huachuca City,Arizona,85616,27731.00,12/13/2013
Mike,Hubley,hubleym,hubleym@royaltyhousekeepers.com,Purchasing,38,520-864-2681,Female,Separated,6347 Annfield Ave,Sierra Vista,Arizona,85650,52486.00,12/5/2015
Lewis,Jax,jaxl,jaxl@royaltyhousekeepers.com,Associate,39,520-229-9086,Female,Married,3637 107th Ct,Tombstone,Arizona,85638,36463.00,11/15/2007
Taylor,Kleimann,kleimannt,kleimannt@royaltyhousekeepers.com,Associate,35,520-779-3855,Female,Single,4075 Northcrest Shopping Trl,Bisbee,Arizona,85603,29890.00,1/5/2013
Miguel,Lacoy,lacoym,lacoym@royaltyhousekeepers.com,Accounting,57,520-512-5239,Male,Widowed,4243 Peregrine Ave,Sierra Vista,Arizona,85650,68746.00,8/19/2010
Jarred,Langemo,langemoj,langemoj@royaltyhousekeepers.com,Associate,25,520-850-1599,Female,Single,4017 9th Street Ct,Sierra Vista,Arizona,85650,32208.00,10/31/2016
Stefan,Lopane,lopanes,lopanes@royaltyhousekeepers.com,CEO,50,520-914-4606,Male,Divorced,10239 Tropical Ave,Bisbee,Arizona,85603,125000.00,3/4/2007
Malcolm,Maras,marasm,marasm@royaltyhousekeepers.com,Team Leader,49,520-958-8041,Female,Married,1117 Narrows St,Huachuca City,Arizona,85616,56839.00,4/30/2010
Alan,Meyle,meylea,meylea@royaltyhousekeepers.com,Team Leader,50,520-472-6849,Female,Married,9758 Midway Ln,Sierra Vista,Arizona,85635,64645.00,9/2/2016
Laurence,Milde,mildel,mildel@royaltyhousekeepers.com,Associate,38,520-220-3291,Female,Divorced,10206 Moonridge Terrace Rd,Sierra Vista,Arizona,85650,31684.00,2/13/2010
Justin,Muller,mullerj,mullerj@royaltyhousekeepers.com,CFO,60,520-001-4020,Male,Widowed,3571 Ross Ade Blvd,Bisbee,Arizona,85603,120000.00,3/4/2007
Joan,Paje,pajej,pajej@royaltyhousekeepers.com,Human Resources,47,520-314-3451,Female,Separated,1027 Gear Ave,Hereford,Arizona,85615,61773.00,8/31/2014
Warren,Racic,racicw,racicw@royaltyhousekeepers.com,Accounting,62,520-730-5519,Female,Divorced,1406 Skyline Ave,Hereford,Arizona,85615,63050.00,8/31/2012
Hubert,Rosensweig,rosensweigh,rosensweigh@royaltyhousekeepers.com,Team Leader,57,520-307-3894,Male,Married,6094 Black Bear Ln,Sierra Vista,Arizona,85635,64495.00,4/17/2015
Federico,Rousset,roussetf,roussetf@royaltyhousekeepers.com,Associate,30,520-017-4997,Male,Single,104 Wilson Ct,Whetstone,Arizona,85638,33790.00,9/4/2012
Brendan,Smirnov,smirnovb,smirnovb@royaltyhousekeepers.com,Intern,34,520-946-8919,Female,Single,1270 Horizon Trl,Bisbee,Arizona,85603,27000.00,6/30/2015
Anderson,Sochacki,sochackia,sochackia@royaltyhousekeepers.com,Section Supervisor,67,520-103-8522,Female,Widowed,9949 Florian Ln,Sierra Vista,Arizona,85650,65237.00,10/16/2013
